,scientificName,sourceTaxonId,interactionTypeName,targetTaxonId,targetTaxonName,referenceCitation,sourceDOI
14953634,Severe acute respiratory syndrome-related coronavirus,GBIF:9207297,hasHost,GBIF:2436436,Homo sapiens,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1",
2550252,Aplectana schneideri,IRMNG:11557297,hasHost,EOL_V2:1024388,Amietophrynus regularis,http://n2t.net/ark:/65665/31e766ea5-2021-4433-a651-58217e99597c,
3667903,Dolichophis jugularis,GBIF:2457232,eats,GBIF:7190212,Chalcides bedriagai bedriagai,https://datadryad.org/stash/downloads/file_stream/375180,
4493030,Chrysomya megacephala ,no:match,mutualistOf,GBIF:7638977,Stillingia lineata,"@article{Kaiser_Bunbury_2010, doi = {10.1111/j.1461-0248.2009.01437.x}, url = {https://doi.org/10.1111%2Fj.1461-0248.2009.01437.x}, year = 2010, month = {apr}, publisher = {Wiley}, volume = {13}, number = {4}, pages = {442--452}, author = {Christopher N. Kaiser-Bunbury and Stefanie Muff and Jane Memmott and Christine B. Müller and Amedeo Caflisch}, title = {The robustness of pollination networks to the loss of species and interactions: a quantitative approach incorporating pollinator behaviour}, journal = {Ecology Letters}}",
3840082,Cepphus columba,FBC:SLB:SpecCode:75160,eats,EOL_V2:2773054,Gnathostomata,"Karpouzi, V.S. 2005. Modelling and mapping trophic overlap between fisheries and the world's seabirds. MSc thesis, Department of Zoology, University of British Columbia, Vancouver, BC, Canada.",
10510311,Cercospora caricina,IF:185559,hasHost,GBIF:2722601,Carex arctata,tmp_host_info-20200902.csv.gz,
7054408,Gymnocanthus detrisus,FBC:FB:SpecCode:23956,eats,EOL_V2:2598871,Crustacea,"Tabunkov, V.D. and E.R. Chernysheva. 1985. Feeding of non-commercial fish species in the Terpeniya Bay. Izv. TINRO 110:98-104.",
464863,Merlangius merlangus,EOL_V2:216882,eats,EOL:2625033,Copepoda,https://www.cefas.co.uk/umbraco/CefasPlugins/DapstomSurface/Download?searchType=predator&species=WHG&years=2011&years=2010&years=2009&years=2007&years=2006&years=2005&years=2004&years=2002&years=2001&years=1994&years=1993&years=1992&years=1991&years=1990&years=1988&years=1987&years=1986&years=1985&years=1984&years=1983&years=1982&years=1981&years=1979&years=1978&years=1977&years=1976&years=1975&years=1974&years=1973&years=1972&years=1971&years=1968&years=1965&years=1963&years=1962&years=1959&years=1958&years=1956&years=1954&years=1952&years=1937&years=1936&years=1929&years=1928&years=1919&years=1918&years=1917&years=1914&years=1913&years=1908&years=1907&years=1905&years=1904&years=1903&years=1901&years=1894&years=1893&years=1891&years=1890&years=1889&years=1888&years=1887&years=1886&areas=VIId&areas=VIIj&areas=IVb&areas=IVa&areas=VIIg&areas=VIIh&areas=IVb/IVc&areas=VIa&areas=IVc&areas=VIIIa&areas=VIIb&areas=VIIe&areas=VIIf&areas=VIIa&minlength=0&maxlength=1000&nullLengths=true,10.5281/zenodo.258222
10137838,Sigarispora caulium,GBIF:7635486,hasHost,http://taxon-concept.plazi.org/id/Animalia/Hecalina_Distant_1908,,tmp_host_info-20200902.csv.gz,
9987121,Phlebia radiata,ALATaxon:NZOR-6-78324,hasHost,GBIF:2877951,Quercus,tmp_host_info-20200902.csv.gz,
6654694,Echidnophaga,EOL:27669,interactsWith,GBIF:5219153,Canis latrans,notPhthiraptera.tsv,
19205145,Oedicentra albipennis,EOL:442381,eats,GBIF:2925303,Lantana camara,"F.  Seow-Choen, A Taxonomic Guide to the Stick Insects of Borneo. Kota Kinabalu: Natural History Publications (Borneo), 2016.",
19895561,Pachybrachis vau,GBIF:1048054,interactsWith,ALATaxon:NZOR-6-109330,Bistorta officinalis,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=18061096,
6597803,Limopsis,GBIF:2286166,interactsWith,no:match,IP.351580,http://collections.peabody.yale.edu/search/Record/YPM-IP-351472,
10148070,Leptosphaeria concessa,no:match,hasHost,ITIS:24848,Rubus,tmp_host_info-20200902.csv.gz,
5054533,Didymosulcus superpalati,GBIF:8382823,parasiteOf,EOL_V2:205934,Thunnus albacares,"Giovanni Strona, Maria Lourdes D. Palomares, Nicolas Bailly, Paolo Galli, and Kevin D. Lafferty. 2013. Host range, host ecology, and distribution of more than 11800 fish parasite species. Ecology 94:544. https://doi.org/10.1890/12-1419.1",10.1890/12-1419.1
95913,Eubacterium cylindroides,GBIF:3226411,hasHost,EOL:327955,Homo sapiens,http://www.ncbi.nlm.nih.gov/nuccore/544227601,10.5281/zenodo.258189
3726150,Martes foina,EOL:311514,eats,EOL_V2:34513,Melanitta,https://datadryad.org/stash/downloads/file_stream/375180,
6430997,Limopsis,GBIF:2286166,interactsWith,no:match,IP.541814,http://collections.peabody.yale.edu/search/Record/YPM-IP-541772,
464028,Merlangius merlangus,EOL_V2:216882,eats,EOL_V2:43912,Temora,https://www.cefas.co.uk/umbraco/CefasPlugins/DapstomSurface/Download?searchType=predator&species=WHG&years=2011&years=2010&years=2009&years=2007&years=2006&years=2005&years=2004&years=2002&years=2001&years=1994&years=1993&years=1992&years=1991&years=1990&years=1988&years=1987&years=1986&years=1985&years=1984&years=1983&years=1982&years=1981&years=1979&years=1978&years=1977&years=1976&years=1975&years=1974&years=1973&years=1972&years=1971&years=1968&years=1965&years=1963&years=1962&years=1959&years=1958&years=1956&years=1954&years=1952&years=1937&years=1936&years=1929&years=1928&years=1919&years=1918&years=1917&years=1914&years=1913&years=1908&years=1907&years=1905&years=1904&years=1903&years=1901&years=1894&years=1893&years=1891&years=1890&years=1889&years=1888&years=1887&years=1886&areas=VIId&areas=VIIj&areas=IVb&areas=IVa&areas=VIIg&areas=VIIh&areas=IVb/IVc&areas=VIa&areas=IVc&areas=VIIIa&areas=VIIb&areas=VIIe&areas=VIIf&areas=VIIa&minlength=0&maxlength=1000&nullLengths=true,10.5281/zenodo.258222
896313,Severe acute respiratory syndrome-related coronavirus,NCBI:694009,hasHost,GBIF:2436436,Homo sapiens,https://github.com/viralemergence/virion/raw/main/Virion/Virion.csv.gz,
8032382,BOLD:AAA0565,http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA0565,hasHost,GBIF:5574579,Tetramerium glandulosum,http://bins.boldsystems.org/index.php/Public_RecordView?processid=MHMYL1548-11,
1804424,Acari,EOL:2586535,hasHost,no:match,Cricetomys anisorgei,doi:10.15468/tmxd7n,
9120030,Irbisia nigripes,no:match,interactsWith,EOL_V2:1114101,Dactylis glomerata,"Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 2016-03-08. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115",
